code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
78646;78000;VERSAILLES;48.8035403,2.1266886;FF de tennis;2622;1703;776;142;765;495;228;42;0;86110;44605;10841;23011;10753;22434;45479;18197
78646;78000;VERSAILLES;48.8035403,2.1266886;FF de rugby;425;283;136;6;9;1;7;1;0;86110;44605;10841;23011;10753;22434;45479;18197
78646;78000;VERSAILLES;48.8035403,2.1266886;FF de vol à voile;24;7;16;1;4;3;1;;0;86110;44605;10841;23011;10753;22434;45479;18197
78646;78000;VERSAILLES;48.8035403,2.1266886;FF du sport adapté;15;10;3;1;3;1;1;;0;86110;44605;10841;23011;10753;22434;45479;18197
78551;78100;ST GERMAIN EN LAYE;48.8990413,2.0942792;FF de judo-jujitsu et disciplines associées;468;387;79;1;112;86;26;;0;40481;21220;5093;11352;4775;10457;21901;8124
78551;78100;ST GERMAIN EN LAYE;48.8990413,2.0942792;FF de hockey sur glace;3;2;1;;;;;;0;40481;21220;5093;11352;4775;10457;21901;8124
78551;78100;ST GERMAIN EN LAYE;48.8990413,2.0942792;FF de boxe française, savate et disciplines associées;72;20;51;1;14;7;7;;0;40481;21220;5093;11352;4775;10457;21901;8124
78551;78100;ST GERMAIN EN LAYE;48.8990413,2.0942792;FF de ski nautique;10;6;4;;7;4;3;;0;40481;21220;5093;11352;4775;10457;21901;8124
78551;78100;ST GERMAIN EN LAYE;48.8990413,2.0942792;FF du sport travailliste;1;;1;;;;;;0;40481;21220;5093;11352;4775;10457;21901;8124
78551;78100;ST GERMAIN EN LAYE;48.8990413,2.0942792;Union nationale sportive Léo Lagrange;5;1;1;;2;1;;;0;40481;21220;5093;11352;4775;10457;21901;8124
78650;78110;LE VESINET;48.8944,2.12974;FF de basketball;135;102;31;2;25;14;11;;0;16249;8449;2041;4186;2222;4269;8109;3872
78650;78110;LE VESINET;48.8944,2.12974;FF de football;219;162;52;4;11;7;4;;0;16249;8449;2041;4186;2222;4269;8109;3872
78650;78110;LE VESINET;48.8944,2.12974;FF de golf;730;87;389;254;248;31;131;86;0;16249;8449;2041;4186;2222;4269;8109;3872
78650;78110;LE VESINET;48.8944,2.12974;FF de karaté et disciplines associées;124;82;39;3;34;20;14;;0;16249;8449;2041;4186;2222;4269;8109;3872
78650;78110;LE VESINET;48.8944,2.12974;FF de la montagne et de l'escalade;5;3;2;;;;;;0;16249;8449;2041;4186;2222;4269;8109;3872
