code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
91228;91000;EVRY;48.629828,2.441782;FF de tir à l'arc;14;2;10;2;4;;4;;3;52135;26425;8093;15586;2746;16351;30692;5093
91228;91000;EVRY;48.629828,2.441782;FF de triathlon;12;;11;1;;;;;3;52135;26425;8093;15586;2746;16351;30692;5093
91228;91000;EVRY;48.629828,2.441782;FF des sports de billard;4;;;4;;;;;0;52135;26425;8093;15586;2746;16351;30692;5093
91228;91000;EVRY;48.629828,2.441782;FF de pêche sportive au coup;2;;2;;1;;1;;0;52135;26425;8093;15586;2746;16351;30692;5093
91228;91000;EVRY;48.629828,2.441782;FF de surf;3;;3;;;;;;0;52135;26425;8093;15586;2746;16351;30692;5093
91228;91000;EVRY;48.629828,2.441782;FF d'éducation physique et de gymnastique volontaire;336;58;190;88;289;41;175;73;38;52135;26425;8093;15586;2746;16351;30692;5093
91228;91000;EVRY;48.629828,2.441782;Union nationale sportive Léo Lagrange;5;;5;;3;;3;;0;52135;26425;8093;15586;2746;16351;30692;5093
91086;91070;BONDOUFLE;48.6149736,2.3835366;FF de la montagne et de l'escalade;9;8;1;;;;;;0;9298;4700;1300;2581;819;2697;5100;1501
91086;91070;BONDOUFLE;48.6149736,2.3835366;FF de motonautique;1;;1;;;;;;0;9298;4700;1300;2581;819;2697;5100;1501
91182;91080;COURCOURONNES;48.621,2.41381;FF de boxe;20;11;9;;6;4;2;;12;13812;7125;2182;4167;777;4322;8028;1463
91182;91080;COURCOURONNES;48.621,2.41381;FF d'altérophilie, musculation, force athlétique et culturisme;4;;4;;1;;1;;4;13812;7125;2182;4167;777;4322;8028;1463
91182;91080;COURCOURONNES;48.621,2.41381;FF de tennis de table;45;18;25;2;5;1;4;;27;13812;7125;2182;4167;777;4322;8028;1463
91182;91080;COURCOURONNES;48.621,2.41381;FF d'aïkido, d'aïkibudo et affinitaires;35;27;7;;;;;;17;13812;7125;2182;4167;777;4322;8028;1463
91182;91080;COURCOURONNES;48.621,2.41381;F sportive et culturelle de France;78;59;11;8;72;59;6;7;36;13812;7125;2182;4167;777;4322;8028;1463
91182;91080;COURCOURONNES;48.621,2.41381;FF handisport;10;1;9;;2;;2;;3;13812;7125;2182;4167;777;4322;8028;1463
91340;91090;LISSES;48.5960009,2.4237886;FF de hockey;1;;1;;;;;;0;7173;3696;969;2244;482;1972;4287;913
91340;91090;LISSES;48.5960009,2.4237886;FF de tennis de table;13;3;9;1;1;;1;;0;7173;3696;969;2244;482;1972;4287;913
91340;91090;LISSES;48.5960009,2.4237886;FF d'aéronautique;8;;6;2;;;;;0;7173;3696;969;2244;482;1972;4287;913
91340;91090;LISSES;48.5960009,2.4237886;FF des sports de billard;3;;2;1;;;;;0;7173;3696;969;2244;482;1972;4287;913
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF des sociétés d'aviron;53;11;38;4;13;3;9;1;2;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF de badminton;69;8;61;;29;1;28;;3;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF d'escrime;23;18;4;1;7;4;3;;1;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF de lutte;6;3;2;;;;;;0;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF de bowling et de sports de quilles;10;;9;1;3;;3;;1;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF de pêche sportive au coup;3;;2;1;;;;;1;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF du sport travailliste;13;4;7;2;4;3;1;;4;43086;21653;6105;12061;3487;12519;24261;6306
91174;91100;CORBEIL ESSONNES;48.6137682,2.4803415;FF handisport;16;6;7;3;5;2;2;1;1;43086;21653;6105;12061;3487;12519;24261;6306
91659;91100;VILLABE;48.5849358,2.458328;FF de golf;35;4;25;6;7;1;6;;0;4869;2427;695;1427;305;1431;2846;592
91659;91100;VILLABE;48.5849358,2.458328;FF de planeur ultra léger motorisé;1;;1;;;;;;0;4869;2427;695;1427;305;1431;2846;592
91659;91100;VILLABE;48.5849358,2.458328;FF de roller sports;1;;1;;;;;;0;4869;2427;695;1427;305;1431;2846;592
91659;91100;VILLABE;48.5849358,2.458328;Fédération sportive des ASPTT;3;;3;;1;;1;;0;4869;2427;695;1427;305;1431;2846;592
91477;91120;PALAISEAU;48.7170283,2.2468567;FF de lutte;3;1;2;;1;1;;;0;30285;15427;3770;8541;3116;7496;17284;5505
91477;91120;PALAISEAU;48.7170283,2.2468567;FF de boxe française, savate et disciplines associées;27;5;22;;8;1;7;;0;30285;15427;3770;8541;3116;7496;17284;5505
91477;91120;PALAISEAU;48.7170283,2.2468567;FF de sauvetage et secourisme;11;;11;;4;;4;;0;30285;15427;3770;8541;3116;7496;17284;5505
91477;91120;PALAISEAU;48.7170283,2.2468567;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);19;2;13;4;13;2;9;2;0;30285;15427;3770;8541;3116;7496;17284;5505
91477;91120;PALAISEAU;48.7170283,2.2468567;FF du sport travailliste;9;;6;3;4;;2;2;0;30285;15427;3770;8541;3116;7496;17284;5505
91477;91120;PALAISEAU;48.7170283,2.2468567;Union nationale sportive Léo Lagrange;19;;8;5;9;;3;4;0;30285;15427;3770;8541;3116;7496;17284;5505
91477;91120;PALAISEAU;48.7170283,2.2468567;Union nationale du sport scolaire (UNSS);1406;1374;32;;554;536;18;;0;30285;15427;3770;8541;3116;7496;17284;5505
91521;91130;RIS ORANGIS;48.6442,2.41044;FF de football;630;352;266;11;18;5;12;1;200;27463;14344;3901;7777;2665;7927;15030;4505
91521;91130;RIS ORANGIS;48.6442,2.41044;FF de sports de contact et disciplines associées;88;61;27;;14;9;5;;13;27463;14344;3901;7777;2665;7927;15030;4505
91521;91130;RIS ORANGIS;48.6442,2.41044;FF de baseball et softball;7;1;6;;;;;;1;27463;14344;3901;7777;2665;7927;15030;4505
91521;91130;RIS ORANGIS;48.6442,2.41044;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);9;;9;;4;;4;;1;27463;14344;3901;7777;2665;7927;15030;4505
91521;91130;RIS ORANGIS;48.6442,2.41044;Fédération sportive des ASPTT;19;2;12;5;8;1;4;3;1;27463;14344;3901;7777;2665;7927;15030;4505
91661;91140;VILLEBON SUR YVETTE;48.7001003,2.2276151;FF de boxe;1;;1;;;;;;0;9625;4868;1121;2725;1023;2333;5433;1860
91661;91140;VILLEBON SUR YVETTE;48.7001003,2.2276151;FF d'escrime;31;20;10;1;8;4;4;;0;9625;4868;1121;2725;1023;2333;5433;1860
91661;91140;VILLEBON SUR YVETTE;48.7001003,2.2276151;FF de handball;65;30;33;2;9;3;6;;0;9625;4868;1121;2725;1023;2333;5433;1860
91661;91140;VILLEBON SUR YVETTE;48.7001003,2.2276151;FF de taekwondo et disciplines associées;19;9;10;;7;3;4;;0;9625;4868;1121;2725;1023;2333;5433;1860
91661;91140;VILLEBON SUR YVETTE;48.7001003,2.2276151;FF de golf;136;16;90;30;33;4;18;11;0;9625;4868;1121;2725;1023;2333;5433;1860
91661;91140;VILLEBON SUR YVETTE;48.7001003,2.2276151;FF de sports de contact et disciplines associées;3;2;1;;;;;;0;9625;4868;1121;2725;1023;2333;5433;1860
