code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
77255;77000;LIVRY SUR SEINE;48.5110722,2.6832629;FF de tir;3;;2;1;;;;;0;1919;995;207;484;304;418;955;546
77288;77000;MELUN;48.5353807,2.6591996;FF d'escrime;79;55;22;2;32;21;11;;13;39589;20416;5536;11842;3037;11039;23393;5157
77288;77000;MELUN;48.5353807,2.6591996;FF de tennis de table;36;14;22;;1;;1;;13;39589;20416;5536;11842;3037;11039;23393;5157
77288;77000;MELUN;48.5353807,2.6591996;FF du sport automobile;4;;4;;2;;2;;0;39589;20416;5536;11842;3037;11039;23393;5157
77288;77000;MELUN;48.5353807,2.6591996;FF de bowling et de sports de quilles;2;;1;1;1;;1;;0;39589;20416;5536;11842;3037;11039;23393;5157
77288;77000;MELUN;48.5353807,2.6591996;FF de spéléologie;7;1;6;;1;;1;;1;39589;20416;5536;11842;3037;11039;23393;5157
77288;77000;MELUN;48.5353807,2.6591996;FF d'éducation physique et de gymnastique volontaire;228;1;172;55;220;1;166;53;39;39589;20416;5536;11842;3037;11039;23393;5157
77389;77000;LA ROCHETTE;48.5045038,2.662899;FF de taekwondo et disciplines associées;8;2;6;;3;1;2;;0;3095;1622;365;843;414;758;1616;721
77389;77000;LA ROCHETTE;48.5045038,2.662899;FF de planeur ultra léger motorisé;1;;;1;;;;;0;3095;1622;365;843;414;758;1616;721
77389;77000;LA ROCHETTE;48.5045038,2.662899;FF de ski nautique;11;8;3;;2;2;;;0;3095;1622;365;843;414;758;1616;721
77389;77000;LA ROCHETTE;48.5045038,2.662899;FF des clubs alpins et de montagne;3;;1;2;1;;;1;0;3095;1622;365;843;414;758;1616;721
77389;77000;LA ROCHETTE;48.5045038,2.662899;Union nationale des clubs universitaires;1;1;;;1;1;;;0;3095;1622;365;843;414;758;1616;721
77389;77000;LA ROCHETTE;48.5045038,2.662899;Union nationale du sport scolaire (UNSS);40;36;4;;;;;;0;3095;1622;365;843;414;758;1616;721
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;FF de basketball;171;129;39;3;68;53;15;;0;10866;5676;1498;3144;1034;2956;5980;1930
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;FF de gymnastique;52;37;15;;36;25;11;;0;10866;5676;1498;3144;1034;2956;5980;1930
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;FF de tir à l'arc;12;7;5;;3;3;;;0;10866;5676;1498;3144;1034;2956;5980;1930
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;FF de danse;13;2;6;5;9;2;4;3;0;10866;5676;1498;3144;1034;2956;5980;1930
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;FF de motocyclisme;8;1;6;1;;;;;0;10866;5676;1498;3144;1034;2956;5980;1930
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;FF de ski nautique;31;28;3;;16;15;1;;0;10866;5676;1498;3144;1034;2956;5980;1930
77487;77000;VAUX LE PENIL;48.5274621,2.6796461;F nationale du sport en milieu rural;22;11;10;1;21;10;10;1;0;10866;5676;1498;3144;1034;2956;5980;1930
77121;77090;COLLEGIEN;48.8362114,2.673176;FF de football;150;65;84;2;13;2;11;;0;3145;1570;412;993;165;885;1924;336
77121;77090;COLLEGIEN;48.8362114,2.673176;FF de sauvetage et secourisme;2;;2;;2;;2;;0;3145;1570;412;993;165;885;1924;336
77121;77090;COLLEGIEN;48.8362114,2.673176;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);1;;1;;1;;1;;0;3145;1570;412;993;165;885;1924;336
77276;77100;MAREUIL LES MEAUX;48.9267289,2.8634773;FF de taekwondo et disciplines associées;1;1;;;1;1;;;0;2194;1138;329;618;191;660;1216;318
77276;77100;MAREUIL LES MEAUX;48.9267289,2.8634773;FF de tennis de table;8;6;2;;1;1;;;0;2194;1138;329;618;191;660;1216;318
77276;77100;MAREUIL LES MEAUX;48.9267289,2.8634773;FF de tir à l'arc;1;;1;;;;;;0;2194;1138;329;618;191;660;1216;318
77276;77100;MAREUIL LES MEAUX;48.9267289,2.8634773;FF de vol libre;3;;3;;;;;;0;2194;1138;329;618;191;660;1216;318
77284;77100;MEAUX;48.9589146,2.8964865;FF de volley-ball;49;10;39;;23;5;18;;7;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;FF d'aïkido, d'aïkibudo et affinitaires;29;13;16;;;;;;5;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;FF des sports de billard;5;1;2;2;;;;;1;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;FF de boxe française, savate et disciplines associées;87;52;35;;14;7;7;;27;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;FF de roller sports;14;3;11;;4;1;3;;2;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;FF de vol à voile;2;;1;1;;;;;0;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;FF de baseball et softball;27;16;11;;7;3;4;;9;50755;26679;7395;14697;4586;15100;27964;7690
77284;77100;MEAUX;48.9589146,2.8964865;Union nationale des clubs universitaires;5;1;3;;;;;;0;50755;26679;7395;14697;4586;15100;27964;7690
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF de judo-jujitsu et disciplines associées;70;51;18;1;16;11;5;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF d'aéronautique;7;2;1;4;;;;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF des sports de billard;1;;1;;;;;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF de danse;1;;1;;1;;1;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF de vol libre;3;;3;;;;;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF de sports de contact et disciplines associées;5;1;4;;;;;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;FF de la retraite sportive;8;;2;6;;;;;0;5433;2781;746;1532;503;1468;3044;921
77330;77100;NANTEUIL LES MEAUX;48.9306,2.89893;Union nationale du sport scolaire (UNSS);214;214;;;60;60;;;0;5433;2781;746;1532;503;1468;3044;921
77455;77111;SOIGNOLLES EN BRIE;48.6546406,2.6968426;FF de judo-jujitsu et disciplines associées;141;90;51;;54;26;28;;0;2073;1032;279;616;137;590;1237;246
77455;77111;SOIGNOLLES EN BRIE;48.6546406,2.6968426;FF de rugby;5;2;3;;;;;;0;2073;1032;279;616;137;590;1237;246
77455;77111;SOIGNOLLES EN BRIE;48.6546406,2.6968426;FF de boxe française, savate et disciplines associées;5;1;4;;;;;;0;2073;1032;279;616;137;590;1237;246
77457;77111;SOLERS;48.6589873,2.7195155;FF de football;49;18;30;1;;;;;0;1253;629;181;379;69;354;767;132
77457;77111;SOLERS;48.6589873,2.7195155;FF de karaté et disciplines associées;9;6;3;;2;1;1;;0;1253;629;181;379;69;354;767;132
77208;77114;GOUAIX;48.4836926,3.2945398;FF de basketball;2;;2;;;;;;0;1452;741;221;372;148;449;750;253
77227;77114;HERME;48.4823364,3.3460308;FF de football;8;4;4;;;;;;0;604;310;93;154;63;183;315;106
77341;77114;NOYEN SUR SEINE;48.452236,3.3508554;FF de football;4;1;3;;;;;;0;378;196;49;104;42;93;203;82
77522;77114;VILLIERS SUR SEINE;48.4560911,3.3760958;FF des sports de billard;1;;;1;;;;;0;308;167;45;80;42;76;162;71
77034;77115;BLANDY;48.5683034,2.780179;FF d'athlétisme;1;;1;;;;;;0;760;394;96;223;75;181;424;155
77034;77115;BLANDY;48.5683034,2.780179;FF de taekwondo et disciplines associées;2;;2;;;;;;0;760;394;96;223;75;181;424;155
77034;77115;BLANDY;48.5683034,2.780179;FF de tir;2;;1;1;;;;;0;760;394;96;223;75;181;424;155
77453;77115;SIVRY COURTRY;48.5279296,2.7516142;FF de la montagne et de l'escalade;1;;1;;;;;;0;1016;505;137;298;71;288;583;145
77453;77115;SIVRY COURTRY;48.5279296,2.7516142;FF d'éducation physique et de gymnastique volontaire;13;2;6;5;13;2;6;5;0;1016;505;137;298;71;288;583;145
77453;77115;SIVRY COURTRY;48.5279296,2.7516142;Fédération sportive des ASPTT;3;;3;;3;;3;;0;1016;505;137;298;71;288;583;145
77019;77118;BALLOY;48.3974,3.14726;FF de football;8;4;4;;1;;1;;0;331;171;44;84;44;83;170;78
77019;77118;BALLOY;48.3974,3.14726;FF de handball;1;;1;;1;;1;;0;331;171;44;84;44;83;170;78
77025;77118;BAZOCHES LES BRAY;48.398458,3.1884553;FF de tennis;26;13;12;1;4;2;2;;0;827;408;93;203;112;196;418;213
77025;77118;BAZOCHES LES BRAY;48.398458,3.1884553;FF du sport universitaire;1;;1;;1;;1;;0;827;408;93;203;112;196;418;213
77002;77120;AMILLIS;48.7410773,3.1284825;FF d'athlétisme;6;3;3;;4;2;2;;0;774;414;107;228;80;196;451;128
77002;77120;AMILLIS;48.7410773,3.1284825;FF de canoë-kayak;4;3;1;;;;;;0;774;414;107;228;80;196;451;128
77002;77120;AMILLIS;48.7410773,3.1284825;FF handisport;1;;1;;;;;;0;774;414;107;228;80;196;451;128
77013;77120;AULNOY;48.8411862,3.0956698;FF de volley-ball;2;2;;;2;2;;;0;386;202;54;112;36;103;221;62
77013;77120;AULNOY;48.8411862,3.0956698;FF de motocyclisme;1;;1;;;;;;0;386;202;54;112;36;103;221;62
77070;77120;CHAILLY EN BRIE;48.7892721,3.1242603;FF d'athlétisme;5;2;3;;1;;1;;0;1449;730;215;408;107;457;791;201
77070;77120;CHAILLY EN BRIE;48.7892721,3.1242603;FF de basketball;4;3;1;;2;2;;;0;1449;730;215;408;107;457;791;201
77070;77120;CHAILLY EN BRIE;48.7892721,3.1242603;FF de tir;6;2;3;1;;;;;0;1449;730;215;408;107;457;791;201
77070;77120;CHAILLY EN BRIE;48.7892721,3.1242603;FF de rugby;1;1;;;;;;;0;1449;730;215;408;107;457;791;201
